date,year,id,yi,block,trt,irr,tss,out,tssl
7/21/2015,2015,3,2015.B,1,ST,2,0.0895,4546.451337,0.406907395
7/21/2015,2015,4,2015.B,2,CT,2,1.540833333,25554.35501,39.375002
7/21/2015,2015,5,2015.B,2,MT,2,0.2475,8528.37664,2.110773218
7/21/2015,2015,6,2015.B,2,ST,2,0.0075,6691.192468,0.050183944
7/31/2015,2015,1,2015.C,1,CT,3,1.710666667,26769.87815,45.79433823
7/31/2015,2015,2,2015.C,1,MT,3,0.474,11670.4666,5.531801168
7/31/2015,2015,3,2015.C,1,ST,3,0.190666667,15651.8658,2.984289084
7/31/2015,2015,4,2015.C,2,CT,3,2.640666667,20066.73728,52.98956425
7/31/2015,2015,5,2015.C,2,MT,3,0.364,23649.72604,8.608500279
7/31/2015,2015,6,2015.C,2,ST,3,0.154,3139.449668,0.483475249
8/7/2015,2015,1,2015.D,1,CT,4,1.57,43555.59387,68.38228238
8/7/2015,2015,2,2015.D,1,MT,4,0.43,12105.81922,5.205502265
8/7/2015,2015,3,2015.D,1,ST,4,0.11,23656.25,2.6021875
8/7/2015,2015,4,2015.D,2,CT,4,2.05,19625.225,40.23171125
8/7/2015,2015,5,2015.D,2,MT,4,0.34,25848.85582,8.788610979
8/7/2015,2015,6,2015.D,2,ST,4,0.14,13115.025,1.8361035
8/17/2015,2015,1,2015.E,1,CT,5,0.8,23451.22915,18.76098332
8/17/2015,2015,2,2015.E,1,MT,5,0.123333333,6288.627408,0.775597378
8/17/2015,2015,3,2015.E,1,ST,5,0.04,14835.3075,0.5934123
8/17/2015,2015,4,2015.E,2,CT,5,1.153333333,28717.36938,33.12069934
8/17/2015,2015,5,2015.E,2,MT,5,0.093333333,9778.851441,0.912692798
8/17/2015,2015,6,2015.E,2,ST,5,0.01,7094.52244,0.070945224
9/1/2015,2015,1,2015.F,1,CT,6,2.67,21513.58929,57.4412834
9/1/2015,2015,2,2015.F,1,MT,6,0.336666667,3114.058019,1.048399534
9/1/2015,2015,3,2015.F,1,ST,6,0.076666667,10772.13665,0.825863813
9/1/2015,2015,4,2015.F,2,CT,6,1.73,19067.12829,32.98613194
9/1/2015,2015,5,2015.F,2,MT,6,0.13,5278.194277,0.686165256
9/1/2015,2015,6,2015.F,2,ST,6,0.15,10140.1172,1.52101758
6/8/2016,2016,1,2016.A,1,CT,1,2.625833333,57810.74704,151.8013866
6/8/2016,2016,2,2016.A,1,MT,1,0.1225,9891.948939,1.211763745
6/8/2016,2016,3,2016.A,1,ST,1,0.1425,34746.3,4.95134775
6/8/2016,2016,4,2016.A,2,CT,1,0.679166667,27899.235,18.94823045
6/8/2016,2016,5,2016.A,2,MT,1,0.275833333,5166.525,1.425099811
6/8/2016,2016,6,2016.A,2,ST,1,0.580833333,22845.58464,13.26947707
6/20/2016,2016,1,2016.B,1,CT,2,0.76,31999.6802,24.31975695
6/20/2016,2016,2,2016.B,1,MT,2,0.09,2989.265633,0.269033907
6/20/2016,2016,3,2016.B,1,ST,2,0.24,16371.91473,3.929259535
6/20/2016,2016,4,2016.B,2,CT,2,0.65,34424.54777,22.37595605
6/20/2016,2016,5,2016.B,2,MT,2,0.271666667,2534.910876,0.688650789
6/20/2016,2016,6,2016.B,2,ST,2,1.24,4606.00412,5.711445109
